id,geometry,travel,stay,diff,centroid
8452447ffffffff,"POLYGON ((18.61871865240376 50.44855133917245, 18.42303255678652 50.3213974440679, 18.22853995237436 50.41517481233836, 18.22963475762753 50.63513706343724, 18.424537399023 50.76204510071249, 18.61912672805275 50.66923861070169, 18.61871865240376 50.44855133917245))",0,0,0,POINT (18.42391324863338 50.54208698578875)
8452c15ffffffff,"POLYGON ((12.11850194857154 46.38280743329846, 11.92153825287953 46.26387043915187, 11.73971716254211 46.3645239835709, 11.75456548578101 46.58327784365644, 11.95072544347421 46.70210935521213, 12.1328389395894 46.60229471724897, 12.11850194857154 46.38280743329846))",0,0,0,POINT (11.93623695067271 46.48328317848802)
8452529ffffffff,"POLYGON ((16.22112932809258 47.60136491488383, 16.02145194927141 47.47740960185108, 15.82998567221965 47.57817391548775, 15.83799035268778 47.80197983514192, 16.03686397217343 47.92578288811588, 16.22853474706836 47.82593455657822, 16.22112932809258 47.60136491488383))",48,0,-48,POINT (16.02928593699087 47.70192435012635)
8452ee9ffffffff,"POLYGON ((14.4556260484659 47.16534320361217, 14.25698584269654 47.04354474245974, 14.06956562904271 47.14399978682161, 14.08054162486198 47.36537266446189, 14.27837511631263 47.4870369494995, 14.46603740340745 47.38746477445009, 14.4556260484659 47.16534320361217))",18,0,-18,POINT (14.26779860182825 47.26560441778214)
8463b09ffffffff,"POLYGON ((13.08701879646501 50.30235277563809, 12.89601219041193 50.18184449276863, 12.71529157416401 50.27117325466318, 12.72538029608206 50.48013997678358, 12.91558906755644 50.60043128742686, 13.09650488495469 50.51197446257178, 13.08701879646501 50.30235277563809))",36,0,-36,POINT (12.9058995558227 50.39146552021631)
8463b21ffffffff,"POLYGON ((11.9411237900781 49.58259514300244, 11.75022242074885 49.46340678761731, 11.5719658847 49.5539957525606, 11.58438068221047 49.76292291992298, 11.77448368072889 49.88191742556668, 11.95296821176176 49.79218029558992, 11.9411237900781 49.58259514300244))",0,0,0,POINT (11.76244817829097 49.67297833407985)
8452441ffffffff,"POLYGON ((19.00987425353665 50.48216602558746, 18.814047013124 50.35452681531573, 18.61871865240376 50.44855133917245, 18.61912672805275 50.66923861070169, 18.81417312408362 50.79662910943312, 19.00959034090085 50.70358292873049, 19.00987425353665 50.48216602558746))",0,0,0,POINT (18.81424034499553 50.57594669232474)
8452ecbffffffff,"POLYGON ((15.0783578690514 48.19722544216848, 14.88097566790639 48.07450300672102, 14.69286189891003 48.17229216454805, 14.70191906920175 48.39190611750399, 14.89849653844466 48.51446194271655, 15.0868195997539 48.41757251926955, 15.0783578690514 48.19722544216848))",233,0,-233,POINT (14.88985430672139 48.29480838201611)
8452c6bffffffff,"POLYGON ((12.79621169531555 45.08158056221413, 12.59603165406823 44.96231649172804, 12.41130776366604 45.06759630114232, 12.42645105985925 45.29130520962996, 12.62582712418032 45.4105022132898, 12.81086208038553 45.30605986335378, 12.79621169531555 45.08158056221413))",0,0,0,POINT (12.61104255056709 45.18669400599219)
8452ea1ffffffff,"POLYGON ((13.12908017514457 47.42034535831039, 12.93255750830138 47.30001602301993, 12.74887132614185 47.39842251220503, 12.76144967383246 47.61629785530267, 12.95716669895678 47.73648894175329, 13.14110907594285 47.63894504878842, 13.12908017514457 47.42034535831039))",0,0,0,POINT (12.94497081028575 47.51856037336925)
8452517ffffffff,"POLYGON ((16.07706228351892 49.25494073291966, 15.88077851462087 49.13091730864856, 15.69113577127262 49.22625341667212, 15.69760586258231 49.44469328294394, 15.89308983959867 49.56851595094277, 16.08290152013985 49.47410146546051, 16.07706228351892 49.25494073291966))",922,0,-922,POINT (15.8870539303211 49.35005685815332)
8452e81ffffffff,"POLYGON ((13.92590552409977 48.12294564649498, 13.72968438854605 48.00157686241618, 13.5444997105531 48.09852882113808, 13.55530519001992 48.31597181234219, 13.75072097723608 48.43717976915485, 13.93613465691049 48.34110760146174, 13.92590552409977 48.12294564649498))",32,0,-32,POINT (13.7403140363945 48.21969655510265)
8452cd3ffffffff,"POLYGON ((11.90442947271316 48.95004982453386, 11.71239261756202 48.83092541144578, 11.53358401861021 48.92345354881093, 11.54656861151977 49.13425823503338, 11.73780530158614 49.25320554324158, 11.91685554923503 49.16152705638382, 11.90442947271316 48.95004982453386))",0,0,0,POINT (11.72519572724107 49.04237744240886)
84525a7ffffffff,"POLYGON ((14.18621762257873 49.75831279903579, 13.99285211526151 49.63650712796886, 13.80856634016638 49.72852590168674, 13.81745490791099 49.94146216215738, 14.01001983366884 50.06306059933882, 14.194494731127 49.97193177330018, 14.18621762257873 49.75831279903579))",368,1440,1072,POINT (14.00154281936793 49.85011524053397)
8452415ffffffff,"POLYGON ((17.65275876499918 51.34483041963937, 17.45958833763347 51.21891063353568, 17.26822338673428 51.30887292336786, 17.26993343800729 51.52380357128126, 17.46232044589547 51.64945760926084, 17.65377881213361 51.56044838802701, 17.65275876499918 51.34483041963937))",0,0,0,POINT (17.46107246921992 51.43454830948487)
84520c3ffffffff,"POLYGON ((18.75746953594649 46.01200721885059, 18.55266216567297 45.88551241185699, 18.35427724930477 45.99386803318765, 18.36049692487219 46.22777411226762, 18.56450933103154 46.3541616721064, 18.76309524846196 46.24675315985525, 18.75746953594649 46.01200721885059))",0,0,0,POINT (18.55873883594716 46.12016563570083)
8452729ffffffff,"POLYGON ((18.99194872191314 47.76845688834811, 18.79046599898998 47.64114747064379, 18.59283189498091 47.74406419357346, 18.59652424002113 47.97332596659059, 18.79721527670687 48.10046940291165, 18.99500379312587 47.99851947581179, 18.99194872191314 47.76845688834811))",0,0,0,POINT (18.79398619057789 47.87115586398339)
8452e5bffffffff,"POLYGON ((16.1973494091226 46.92373140364628, 15.9963959659185 46.79996896941667, 15.80443814720285 46.90286308952712, 15.81321134883961 47.12861142106215, 16.0133601694297 47.25224267864093, 16.20553852297893 47.15025918105029, 16.1973494091226 46.92373140364628))",243,0,-243,POINT (16.00500877590801 47.02642771989959)
8452c5dffffffff,"POLYGON ((13.43714013385124 46.11354210396403, 13.23786252503985 45.9931952797148, 13.05223620079094 46.09594204216009, 13.06560551450139 46.31818024089169, 13.26407678956765 46.43842708538324, 13.44998322195208 46.33653806949602, 13.43714013385124 46.11354210396403))",0,0,0,POINT (13.25108441188976 46.21610937817896)
8463b15ffffffff,"POLYGON ((12.37645144267738 50.86320068368298, 12.18744087249045 50.74356156120209, 12.00933960219046 50.83051071284603, 12.02005201582889 51.03624041466778, 12.20826845063323 51.15565160172898, 12.38656452316878 51.06956250927412, 12.37645144267738 50.86320068368298))",0,0,0,POINT (12.19794806570899 50.94993270523358)
8463a25ffffffff,"POLYGON ((13.14097863397987 51.55014964964175, 12.9523960515603 51.42969371771131, 12.7729205377927 51.51511713442356, 12.78185739251348 51.72012553192349, 12.96964839848229 51.84033328078781, 13.14929202756052 51.75578221820778, 13.14097863397987 51.55014964964175))",0,0,0,POINT (12.96111698267861 51.63534789410391)
8463b03ffffffff,"POLYGON ((12.54546290497403 50.56837894921312, 12.35565648679705 50.44851844489065, 12.17674562687337 50.5365404427852, 12.18744087249045 50.74356156120209, 12.37645144267738 50.86320068368298, 12.55556053954439 50.77604161368865, 12.54546290497403 50.56837894921312))",0,0,0,POINT (12.36614918863204 50.65618522216904)
