,certainty,name,geometry,geometry_source,locality,date,period,domestic
92,1.0,Aldersbach,POINT (13.09 48.59),POINT (16.388 48.221),Wien,1253-10-01,2,True
93,1.0,Vilémov,POINT (15.535 49.814),POINT (14.41 50.09),Praha,1253-11-25,2,True
94,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1253-11-25,2,True
95,1.0,Vyšehrad,POINT (14.418 50.065),POINT (14.41 50.09),Praha,1253-11-25,2,True
96,1.0,Břevnov,POINT (14.383 50.074),POINT (14.41 50.09),Praha,1253-11-25,2,True
97,1.0,Strahov,POINT (14.386 50.083),POINT (14.41 50.09),Praha,1253-11-25,2,True
98,3.0,Opatovice nad Labem,POINT (15.79 50.145),POINT (14.41 50.09),Praha,1253-11-25,2,True
99,1.0,Litoměřice,POINT (14.132 50.533),POINT (14.76 50.765),Jablonné v Podještědí,1253-12-09,2,True
100,1.0,Hrušovany,POINT (14.28 50.52),POINT (14.76 50.765),Jablonné v Podještědí,1253-12-09,2,True
101,1.0,Vrutice,POINT (14.292 50.502),POINT (14.76 50.765),Jablonné v Podještědí,1253-12-09,2,True
102,1.0,Svařenice,POINT (14.3 50.5),POINT (14.76 50.765),Jablonné v Podještědí,1253-12-09,2,True
103,1.0,Polepy,POINT (14.267 50.508),POINT (14.76 50.765),Jablonné v Podještědí,1253-12-09,2,True
104,1.0,Halbenrein,POINT (15.93 46.727),POINT (14.41 50.09),Praha,1253-12-19,2,True
105,1.0,Halbenrein,POINT (15.93 46.727),POINT (14.41 50.09),Praha,1253-12-19,2,True
106,1.0,Stříbro,POINT (13.003 49.752),POINT (12.995 49.712),Kladruby,1254-01-23,2,True
107,2.0,Bítov bei Stříbro,POINT (13.004 49.753),POINT (12.995 49.712),Kladruby,1254-01-23,2,True
108,3.0,Chotěšov,POINT (13.203 49.654),POINT (12.995 49.712),Kladruby,1254-01-23,2,True
109,1.0,Zbůch,POINT (13.226 49.678),POINT (12.995 49.712),Kladruby,1254-01-23,2,True
110,1.0,Červený Újezd,POINT (14.166 50.069),POINT (12.995 49.712),Kladruby,1254-01-23,2,True
111,3.0,Altenburg,POINT (15.593 48.647),POINT (15.62 48.41),Krems an der Donau,1254-03-16,2,True
112,3.0,Röhrenbach,POINT (15.489 48.663),POINT (15.62 48.41),Krems an der Donau,1254-03-16,2,True
113,1.0,Mondsee,POINT (13.35 47.855),POINT (15.62 48.41),Krems an der Donau,1254-03-16,2,True
114,3.0,Freising,POINT (11.746 48.399),POINT (16.388 48.221),Wien,1254-04-06,2,True
115,1.0,Dobrava pri Škocjanu,POINT (15.327 45.875),POINT (16.388 48.221),Wien,1254-04-06,2,True
116,1.0,Čretež pri Krškem,POINT (15.46 45.969),POINT (16.388 48.221),Wien,1254-04-06,2,True
117,1.0,Dolenje Mokro Polje,POINT (15.277 45.834),POINT (16.388 48.221),Wien,1254-04-06,2,True
118,1.0,Dobrava pri Škocjanu,POINT (15.327 45.875),POINT (16.388 48.221),Wien,1254-04-06,2,True
119,1.0,St. Florian,POINT (14.379 48.206),POINT (15.62 48.41),Krems an der Donau,1254-04-17,2,True
120,1.0,Seckau,POINT (14.786 47.275),POINT (16.388 48.221),Wien,1254-05-13,2,True
121,1.0,Muthmannsdorf,POINT (16.111 47.839),POINT (16.388 48.221),Wien,1254-05-13,2,True
122,1.0,Brno,POINT (16.61 49.19),POINT (16.61 49.19),Brno,1254-06-15,2,True
123,1.0,Brno,POINT (16.61 49.19),POINT (16.61 49.19),Brno,1254-06-15,2,True
124,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1254-07-10,2,True
125,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1254-07-10,2,True
126,1.0,Praha,POINT (14.41 50.09),POINT (14.41 50.09),Praha,1254-07-10,2,True
127,1.0,Osek,POINT (13.693 50.621),POINT (14.41 50.09),Praha,1254-07-10,2,True
128,1.0,Olomouc,POINT (17.252 49.596),POINT (17.252 49.596),Olomouc,1254-09-15,2,True
129,1.0,Olomouc,POINT (17.252 49.596),POINT (17.252 49.596),Olomouc,1254-09-15,2,True
